rna_name	rna_id	rna_type	InternalLoopLabel	loopEnergy	label5p	energy5p	label3p	energy3p
bpRNA_CRW_54890	54890	16S	I6	3.7	S30	-5.05	S31	-8.05
bpRNA_CRW_54890	54890	16S	I16	0.2	S59	-2.05	S60	-7.5
bpRNA_CRW_54890	54890	16S	I18	3.0	S68	-17.8	S69	-1.75
bpRNA_CRW_54890	54890	16S	I23	1.0	S94	-2.97	S95	-5.35
bpRNA_CRW_2294	2294	16S	I5	3.7	S26	-5.05	S27	-8.05
bpRNA_CRW_2294	2294	16S	I15	0.2	S55	-2.05	S56	-7.5
bpRNA_CRW_2294	2294	16S	I17	3.0	S64	-17.8	S65	-1.75
bpRNA_CRW_2294	2294	16S	I18	0.8	S83	-13.35	S84	-3.3
bpRNA_CRW_3837	3837	16S	I5	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_3837	3837	16S	I15	0.2	S60	-2.05	S61	-7.5
bpRNA_CRW_3837	3837	16S	I17	3.0	S69	-17.8	S70	-1.75
bpRNA_CRW_3837	3837	16S	I18	0.8	S88	-10.95	S89	-3.3
bpRNA_CRW_17105	17105	16S	I7	3.7	S29	-5.05	S30	-7.95
bpRNA_CRW_17105	17105	16S	I8	2.8	S31	-6.55	S32	-2.77
bpRNA_CRW_17105	17105	16S	I18	3.0	S64	-15.25	S65	-1.75
bpRNA_CRW_1042	1042	16S	I9	0.2	S26	-2.05	S27	-7.5
bpRNA_CRW_4247	4247	16S	I2	3.7	S10	-5.05	S11	-8.05
bpRNA_CRW_4247	4247	16S	I13	0.2	S39	-2.05	S40	-7.5
bpRNA_CRW_4247	4247	16S	I15	0.8	S59	-9.05	S60	-3.3
bpRNA_CRW_8567	8567	16S	I2	3.0	S12	-5.7	S13	-8.05
bpRNA_CRW_8567	8567	16S	I3	1.4	S14	-7.9	S15	-7.3
bpRNA_CRW_8567	8567	16S	I12	2.9	S37	-12.5	S38	-4.35
bpRNA_CRW_8567	8567	16S	I15	3.0	S51	-17.8	S52	-1.75
bpRNA_CRW_8567	8567	16S	I16	1.0	S61	-1.95	S62	-3.3
bpRNA_CRW_8567	8567	16S	I20	0.2	S78	-2.97	S79	-6.6
bpRNA_CRW_12300	12300	16S	I4	3.0	S18	-5.7	S19	-8.05
bpRNA_CRW_12300	12300	16S	I5	2.1	S20	-6.25	S21	-5.3
bpRNA_CRW_12300	12300	16S	I14	2.9	S42	-11.0	S43	-4.35
bpRNA_CRW_55233	55233	16S	I4	3.0	S15	-5.05	S16	-1.75
bpRNA_CRW_13677	13677	16S	I1	2.1	S2	-6.25	S3	-5.65
bpRNA_CRW_13677	13677	16S	I10	2.9	S23	-11.0	S24	-4.35
bpRNA_CRW_5730	5730	16S	I4	3.0	S18	-5.8	S19	-8.05
bpRNA_CRW_5730	5730	16S	I5	2.8	S20	-4.15	S21	-3.85
bpRNA_CRW_5730	5730	16S	I15	3.0	S56	-17.8	S57	-1.75
bpRNA_CRW_5730	5730	16S	I16	1.0	S76	-10.8	S77	-3.3
bpRNA_CRW_9010	9010	16S	I4	3.0	S18	-5.7	S19	-8.05
bpRNA_CRW_9010	9010	16S	I5	2.1	S20	-6.25	S21	-5.3
bpRNA_CRW_9010	9010	16S	I14	2.9	S43	-11.0	S44	-4.35
bpRNA_CRW_54744	54744	Group I intron	I1	8.0	S4	-13.35	S5	-7.8
bpRNA_CRW_54744	54744	Group I intron	I3	2.3	S10	-6.7	S11	-5.7
bpRNA_CRW_54744	54744	Group I intron	I5	3.7	S20	-10.9	S21	-7.15
bpRNA_CRW_10758	10758	16S	I6	3.0	S24	-5.7	S25	-8.05
bpRNA_CRW_10758	10758	16S	I7	2.1	S26	-6.25	S27	-5.3
bpRNA_CRW_54626	54626	Group I intron	I2	2.3	S2	-6.9	S3	-7.55
bpRNA_CRW_54626	54626	Group I intron	I6	1.1	S13	-6.35	S14	-7.25
bpRNA_CRW_5652	5652	16S	I1	2.8	S1	-6.55	S2	-5.85
bpRNA_CRW_9172	9172	16S	I7	3.0	S29	-5.7	S30	-5.95
bpRNA_CRW_9172	9172	16S	I8	2.1	S31	-6.25	S32	-5.65
bpRNA_CRW_9172	9172	16S	I17	2.9	S52	-11.0	S53	-4.35
bpRNA_CRW_9172	9172	16S	I20	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_13715	13715	16S	I1	2.1	S1	-6.55	S2	-3.75
bpRNA_CRW_13715	13715	16S	I10	2.9	S22	-12.5	S23	-4.35
bpRNA_CRW_13715	13715	16S	I11	0.2	S27	-2.05	S28	-7.5
bpRNA_CRW_8828	8828	16S	I4	3.0	S19	-5.7	S20	-5.95
bpRNA_CRW_8828	8828	16S	I5	2.1	S21	-6.25	S22	-5.65
bpRNA_CRW_8828	8828	16S	I14	2.9	S42	-11.0	S43	-4.35
bpRNA_CRW_3681	3681	16S	I5	3.7	S21	-5.25	S22	-8.05
bpRNA_CRW_3681	3681	16S	I6	2.8	S23	-6.35	S24	-3.85
bpRNA_CRW_3681	3681	16S	I17	3.0	S59	-17.8	S60	-1.75
bpRNA_CRW_6484	6484	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_6484	6484	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_6484	6484	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_3578	3578	16S	I1	3.7	S6	-5.05	S7	-8.05
bpRNA_CRW_3578	3578	16S	I11	0.2	S35	-2.05	S36	-7.5
bpRNA_CRW_659	659	16S	I2	2.1	S10	-0.95	S11	-8.65
bpRNA_CRW_659	659	16S	I6	3.7	S29	-5.05	S30	-8.05
bpRNA_CRW_659	659	16S	I15	0.2	S57	-2.05	S58	-7.5
bpRNA_CRW_659	659	16S	I17	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_659	659	16S	I18	0.8	S85	-10.85	S86	-3.3
bpRNA_CRW_14148	14148	16S	I7	3.0	S27	-5.7	S28	-8.05
bpRNA_CRW_14148	14148	16S	I8	2.1	S29	-6.25	S30	-5.3
bpRNA_CRW_14148	14148	16S	I17	2.9	S50	-11.0	S51	-4.35
bpRNA_CRW_14148	14148	16S	I20	3.0	S64	-15.7	S65	-1.75
bpRNA_CRW_5986	5986	16S	I5	3.7	S27	-5.25	S28	-8.05
bpRNA_CRW_5986	5986	16S	I6	2.8	S29	-6.55	S30	-5.85
bpRNA_CRW_5986	5986	16S	I16	3.0	S64	-17.8	S65	-1.75
bpRNA_CRW_5986	5986	16S	I25	2.5	S100	-7.15	S101	-3.3
bpRNA_CRW_55351	55351	23S	I3	2.2	S18	-8.05	S19	-1.95
bpRNA_CRW_55351	55351	23S	I7	0.1	S40	-5.65	S41	-3.3
bpRNA_CRW_55351	55351	23S	I13	1.9	S62	-3.7	S63	-6.05
bpRNA_CRW_55351	55351	23S	I19	1.5	S76	-4.95	S77	-6.7
bpRNA_CRW_55351	55351	23S	I24	2.3	S94	-13.3	S95	-1.97
bpRNA_CRW_55351	55351	23S	I25	1.2	S97	-3.3	S98	-5.05
bpRNA_CRW_55351	55351	23S	I30	1.2	S106	-9.6	S107	-5.5
bpRNA_CRW_55351	55351	23S	I31	1.9	S109	-1.65	S110	-5.1
bpRNA_CRW_55351	55351	23S	I33	4.5	S111	-3.05	S112	-11.8
bpRNA_CRW_55351	55351	23S	I34	3.8	S117	-6.15	S118	-16.5
bpRNA_CRW_55351	55351	23S	I35	1.2	S118	-16.5	S119	-2.7
bpRNA_CRW_55351	55351	23S	I41	3.0	S144	-4.05	S145	-3.3
bpRNA_CRW_55351	55351	23S	I44	2.4	S154	-6.7	S155	-13.7
bpRNA_CRW_55351	55351	23S	I45	3.0	S163	0.03	S164	-9.15
bpRNA_CRW_55351	55351	23S	I47	2.3	S178	-3.3	S179	-8.95
bpRNA_CRW_12262	12262	16S	I6	3.0	S21	-5.7	S22	-8.05
bpRNA_CRW_12262	12262	16S	I7	2.1	S23	-6.25	S24	-5.3
bpRNA_CRW_12262	12262	16S	I16	2.9	S44	-11.0	S45	-4.35
bpRNA_CRW_4325	4325	16S	I1	1.3	S4	-0.22	S5	-7.6
bpRNA_CRW_4325	4325	16S	I5	3.7	S23	-5.05	S24	-8.05
bpRNA_CRW_4325	4325	16S	I14	0.2	S51	-2.05	S52	-7.5
bpRNA_CRW_4325	4325	16S	I16	3.0	S60	-17.8	S61	-1.75
bpRNA_CRW_4325	4325	16S	I17	0.8	S79	-15.25	S80	-3.3
bpRNA_CRW_8405	8405	16S	I5	3.0	S28	-6.6	S29	-8.05
bpRNA_CRW_8405	8405	16S	I6	2.1	S30	-7.8	S31	-8.65
bpRNA_CRW_8405	8405	16S	I17	3.0	S65	-15.1	S66	-1.75
bpRNA_CRW_1120	1120	16S	I2	1.3	S10	-0.22	S11	-3.3
bpRNA_CRW_1120	1120	16S	I6	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_1120	1120	16S	I15	0.2	S59	-2.05	S60	-7.5
bpRNA_CRW_1120	1120	16S	I17	3.0	S68	-17.8	S69	-1.75
bpRNA_CRW_1120	1120	16S	I18	0.8	S87	-15.25	S88	-3.3
bpRNA_CRW_17067	17067	16S	I7	3.7	S29	-5.05	S30	-7.95
bpRNA_CRW_17067	17067	16S	I8	2.8	S31	-6.55	S32	-2.77
bpRNA_CRW_17067	17067	16S	I18	3.0	S64	-15.25	S65	-1.75
bpRNA_CRW_3955	3955	16S	I14	0.2	S53	-2.05	S54	-7.5
bpRNA_CRW_3955	3955	16S	I16	3.0	S62	-17.8	S63	-1.75
bpRNA_CRW_3955	3955	16S	I17	0.8	S83	-10.95	S84	-3.3
bpRNA_CRW_4149	4149	16S	I5	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_4149	4149	16S	I15	0.2	S60	-2.05	S61	-7.5
bpRNA_CRW_8669	8669	16S	I1	3.0	S6	-5.7	S7	-5.95
bpRNA_CRW_8669	8669	16S	I2	2.1	S8	-6.55	S9	-3.75
bpRNA_CRW_8669	8669	16S	I11	2.9	S29	-12.5	S30	-4.35
bpRNA_CRW_8669	8669	16S	I12	0.2	S34	-2.05	S35	-7.5
bpRNA_CRW_8590	8590	16S	I7	3.0	S29	-5.7	S30	-5.95
bpRNA_CRW_8590	8590	16S	I8	2.1	S31	-6.25	S32	-3.75
bpRNA_CRW_8590	8590	16S	I14	5.2	S46	-10.8	S47	-11.55
bpRNA_CRW_8590	8590	16S	I20	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_8590	8590	16S	I30	2.5	S102	-8.35	S103	-3.3
bpRNA_CRW_818	818	16S	I1	2.1	S5	-0.22	S6	-8.65
bpRNA_CRW_818	818	16S	I5	3.7	S24	-5.05	S25	-8.05
bpRNA_CRW_818	818	16S	I14	0.2	S52	-2.05	S53	-7.5
bpRNA_CRW_818	818	16S	I16	3.0	S61	-17.8	S62	-1.75
bpRNA_CRW_818	818	16S	I17	0.8	S80	-10.85	S81	-3.3
bpRNA_CRW_13954	13954	16S	I6	3.7	S30	-4.95	S31	-5.95
bpRNA_CRW_13954	13954	16S	I7	2.1	S32	-6.55	S33	-5.65
bpRNA_CRW_13954	13954	16S	I17	0.2	S58	-2.05	S59	-7.5
bpRNA_CRW_5813	5813	16S	I5	3.7	S27	-5.25	S28	-8.05
bpRNA_CRW_5813	5813	16S	I6	2.8	S29	-6.55	S30	-5.85
bpRNA_CRW_5813	5813	16S	I16	3.0	S64	-17.8	S65	-1.75
bpRNA_CRW_7066	7066	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_7066	7066	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_7066	7066	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_7066	7066	16S	I28	2.5	S104	-7.15	S105	-3.3
bpRNA_CRW_54867	54867	16S	I7	3.7	S30	-4.95	S31	-5.95
bpRNA_CRW_54867	54867	16S	I8	2.1	S32	-6.55	S33	-3.75
bpRNA_CRW_54867	54867	16S	I18	0.2	S58	-2.05	S59	-7.5
bpRNA_CRW_11121	11121	16S	I5	3.0	S28	-5.7	S29	-5.95
bpRNA_CRW_11121	11121	16S	I6	2.1	S30	-6.55	S31	-3.75
bpRNA_CRW_11121	11121	16S	I15	2.9	S51	-12.5	S52	-4.35
bpRNA_CRW_11121	11121	16S	I16	0.2	S56	-2.05	S57	-7.5
bpRNA_CRW_11121	11121	16S	I18	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_14324	14324	16S	I7	3.0	S28	-5.7	S29	-8.05
bpRNA_CRW_14324	14324	16S	I8	2.1	S30	-6.25	S31	-5.3
bpRNA_CRW_14324	14324	16S	I17	2.9	S51	-11.0	S52	-4.35
bpRNA_CRW_14324	14324	16S	I20	3.0	S65	-15.7	S66	-1.75
bpRNA_CRW_2263	2263	16S	I5	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_2263	2263	16S	I15	0.2	S60	-2.05	S61	-7.5
bpRNA_CRW_2263	2263	16S	I17	3.0	S69	-17.8	S70	-1.75
bpRNA_CRW_2263	2263	16S	I18	0.8	S88	-11.45	S89	-3.3
bpRNA_CRW_2263	2263	16S	I21	0.9	S94	-2.97	S95	-5.35
bpRNA_CRW_10456	10456	16S	I5	3.0	S29	-5.7	S30	-5.95
bpRNA_CRW_10456	10456	16S	I6	2.1	S31	-6.55	S32	-3.75
bpRNA_CRW_10456	10456	16S	I15	2.9	S52	-12.5	S53	-4.35
bpRNA_CRW_10456	10456	16S	I16	0.2	S57	-2.05	S58	-7.5
bpRNA_CRW_10456	10456	16S	I18	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_6511	6511	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_6511	6511	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_6511	6511	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_20388	20388	16S	I5	3.0	S27	-5.7	S28	-7.95
bpRNA_CRW_20388	20388	16S	I6	2.1	S29	-5.4	S30	-6.25
bpRNA_CRW_20388	20388	16S	I11	3.3	S45	-13.9	S46	-11.35
bpRNA_CRW_20388	20388	16S	I17	3.0	S63	-17.35	S64	-1.75
bpRNA_CRW_20388	20388	16S	I19	1.2	S82	-10.85	S83	-3.3
bpRNA_CRW_20388	20388	16S	I22	0.9	S88	-2.97	S89	-5.35
bpRNA_CRW_3714	3714	16S	I7	0.2	S22	-2.05	S23	-7.5
bpRNA_CRW_3714	3714	16S	I9	3.0	S31	-17.8	S32	-1.75
bpRNA_CRW_3714	3714	16S	I10	0.8	S50	-10.85	S51	-3.3
bpRNA_CRW_435	435	16S	I2	2.1	S10	-0.22	S11	-2.05
bpRNA_CRW_435	435	16S	I6	3.7	S30	-5.05	S31	-8.05
bpRNA_CRW_435	435	16S	I15	0.2	S58	-2.05	S59	-7.5
bpRNA_CRW_435	435	16S	I17	3.0	S67	-17.8	S68	-1.75
bpRNA_CRW_435	435	16S	I18	0.8	S86	-10.85	S87	-3.3
bpRNA_CRW_13579	13579	16S	I5	3.7	S22	-4.95	S23	-5.95
bpRNA_CRW_13579	13579	16S	I6	1.4	S24	-7.9	S25	-7.3
bpRNA_CRW_13680	13680	16S	I1	2.1	S2	-6.25	S3	-5.65
bpRNA_CRW_13680	13680	16S	I10	2.9	S23	-11.0	S24	-4.35
bpRNA_CRW_557	557	16S	I5	3.7	S29	-5.05	S30	-8.05
bpRNA_CRW_557	557	16S	I14	0.2	S57	-2.05	S58	-7.5
bpRNA_CRW_557	557	16S	I16	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_557	557	16S	I17	0.8	S85	-10.85	S86	-3.3
bpRNA_CRW_557	557	16S	I20	0.2	S91	-2.97	S92	-6.7
bpRNA_CRW_3676	3676	16S	I2	1.3	S11	-0.22	S12	-7.6
bpRNA_CRW_3676	3676	16S	I6	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_3676	3676	16S	I17	3.0	S67	-17.8	S68	-1.75
bpRNA_CRW_3676	3676	16S	I18	0.8	S86	-10.85	S87	-3.3
bpRNA_CRW_3676	3676	16S	I21	0.2	S92	-2.97	S93	-6.7
bpRNA_CRW_6473	6473	16S	I5	3.7	S28	-5.25	S29	-7.95
bpRNA_CRW_6473	6473	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_6473	6473	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_10534	10534	16S	I5	3.0	S29	-5.7	S30	-5.95
bpRNA_CRW_10534	10534	16S	I6	2.1	S31	-6.55	S32	-3.75
bpRNA_CRW_10534	10534	16S	I15	2.9	S52	-12.5	S53	-4.35
bpRNA_CRW_10534	10534	16S	I16	0.2	S57	-2.05	S58	-7.5
bpRNA_CRW_10534	10534	16S	I18	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_9185	9185	16S	I6	3.0	S34	-5.7	S35	-5.95
bpRNA_CRW_9185	9185	16S	I7	1.4	S36	-7.9	S37	-7.3
bpRNA_CRW_54528	54528	16S	I4	3.0	S27	-5.7	S28	-1.35
bpRNA_CRW_54528	54528	16S	I5	2.1	S30	-7.8	S31	-5.0
bpRNA_CRW_54528	54528	16S	I21	2.5	S94	-8.35	S95	-3.3
bpRNA_CRW_12295	12295	16S	I4	3.0	S18	-5.7	S19	-8.05
bpRNA_CRW_12295	12295	16S	I5	2.1	S20	-6.25	S21	-5.3
bpRNA_CRW_12295	12295	16S	I14	2.9	S40	-11.0	S41	-4.35
bpRNA_CRW_17369	17369	16S	I6	3.7	S29	-5.05	S30	-7.95
