rna_id	rna_type	rna_subtype
42088	tRNA	tRNA
20151	16S	16S
62369	tmRNA	tmRNA
20153	16S	16S
22741	tRNA	tRNA
46869	tRNA	tRNA
46868	tRNA	tRNA
20152	16S	16S
58079	RPRNA	RPRNA
58078	RPRNA	RPRNA
46861	tRNA	tRNA
46860	tRNA	tRNA
46863	tRNA	tRNA
46862	tRNA	tRNA
46865	tRNA	tRNA
46864	tRNA	tRNA
46867	tRNA	tRNA
46866	tRNA	tRNA
20157	16S	16S
20156	16S	16S
22746	tRNA	tRNA
62360	tmRNA	tmRNA
62361	tmRNA	tmRNA
22747	tRNA	tRNA
22744	tRNA	tRNA
13058	16S	16S
13059	16S	16S
13052	16S	16S
13053	16S	16S
13050	16S	16S
13051	16S	16S
13056	16S	16S
13057	16S	16S
13054	16S	16S
13055	16S	16S
22745	tRNA	tRNA
98846	MAT2A 3'UTR stem loop A	MAT2A_A
44427	tRNA	tRNA
44426	tRNA	tRNA
44425	tRNA	tRNA
44424	tRNA	tRNA
44423	tRNA	tRNA
44422	tRNA	tRNA
44421	tRNA	tRNA
44420	tRNA	tRNA
44429	tRNA	tRNA
44428	tRNA	tRNA
29929	tRNA	tRNA
40327	tRNA	tRNA
29927	tRNA	tRNA
27619	tRNA	tRNA
27618	tRNA	tRNA
27617	tRNA	tRNA
27616	tRNA	tRNA
27615	tRNA	tRNA
27614	tRNA	tRNA
27613	tRNA	tRNA
27612	tRNA	tRNA
27611	tRNA	tRNA
27610	tRNA	tRNA
43268	tRNA	tRNA
97938	IMES-2 RNA motif	IMES-2
97931	IMES-2 RNA motif	IMES-2
97930	IMES-2 RNA motif	IMES-2
97933	IMES-2 RNA motif	IMES-2
97932	IMES-2 RNA motif	IMES-2
97935	IMES-2 RNA motif	IMES-2
97934	IMES-2 RNA motif	IMES-2
97937	IMES-2 RNA motif	IMES-2
97936	IMES-2 RNA motif	IMES-2
65888	snoRNA	SNORD83
65889	snoRNA	SNORD83
8549	5S	5S
8548	5S	5S
8545	5S	5S
8544	5S	5S
8547	5S	5S
8546	5S	5S
8541	5S	5S
8540	5S	5S
8543	5S	5S
8542	5S	5S
92262	potC RNA	potC
92263	potC RNA	potC
92260	potC RNA	potC
92261	potC RNA	potC
92266	potC RNA	potC
92267	potC RNA	potC
92264	potC RNA	potC
92265	potC RNA	potC
92268	potC RNA	potC
92269	potC RNA	potC
66504	Riboswitch	SAM
66505	Riboswitch	SAM
50419	tRNA	tRNA
50418	tRNA	tRNA
66500	Riboswitch	SAM
66501	Riboswitch	SAM
66502	Riboswitch	SAM
66503	Riboswitch	SAM
50413	tRNA	tRNA
50412	tRNA	tRNA
50411	tRNA	tRNA
50410	tRNA	tRNA
50417	tRNA	tRNA
66509	Riboswitch	SAM
50415	tRNA	tRNA
50414	tRNA	tRNA
88395	JUMPstart RNA	JUMPstart
88394	JUMPstart RNA	JUMPstart
88397	JUMPstart RNA	JUMPstart
52811	tRNA	tRNA
52810	tRNA	tRNA
52813	tRNA	tRNA
52812	tRNA	tRNA
52815	tRNA	tRNA
52814	tRNA	tRNA
52817	tRNA	tRNA
52816	tRNA	tRNA
52819	tRNA	tRNA
52818	tRNA	tRNA
82994	snoRNA	snR36
60902	RNA Fragment	RNaseP_bact_a
8291	16S	16S
60900	RNA Fragment	RNaseP_bact_a
60901	RNA Fragment	RNaseP_bact_a
60906	RNA Fragment	RNaseP_bact_a
60907	RNA Fragment	RNaseP_bact_a
26568	tRNA	tRNA
26569	tRNA	tRNA
26566	tRNA	tRNA
26567	tRNA	tRNA
26564	tRNA	tRNA
26565	tRNA	tRNA
26562	tRNA	tRNA
26563	tRNA	tRNA
26560	tRNA	tRNA
26561	tRNA	tRNA
82999	snoRNA	snR33
8292	16S	16S
82998	snoRNA	snR33
8295	16S	16S
8294	16S	16S
65268	FinP	FinP
8297	16S	16S
65264	FinP	FinP
65265	FinP	FinP
65266	FinP	FinP
8296	16S	16S
65260	RNA Fragment	RNAI
65261	RNA Fragment	RNAI
65262	RNA Fragment	RNAI
65263	FinP	FinP
92886	yjdF RNA	yjdF
48917	tRNA	tRNA
92884	yjdF RNA	yjdF
92885	yjdF RNA	yjdF
92882	yjdF RNA	yjdF
92883	yjdF RNA	yjdF
92880	yjdF RNA	yjdF
48916	tRNA	tRNA
92888	yjdF RNA	yjdF
92889	yjdF RNA	yjdF
15559	5S	5S
48912	tRNA	tRNA
93139	Bacterial sRNA	ASpks
93138	Bacterial sRNA	ASpks
93135	Bacterial sRNA	ASpks
93134	Bacterial sRNA	ASpks
93137	Bacterial sRNA	ASpks
93136	Bacterial sRNA	ASpks
93131	Bacterial sRNA	ASpks
93130	Bacterial sRNA	ASpks
93133	Bacterial sRNA	ASpks
93132	Bacterial sRNA	ASpks
75289	Ribosomal RNA	L10_leader
75288	Ribosomal RNA	L10_leader
75287	Ribosomal RNA	L10_leader
75286	Ribosomal RNA	L10_leader
75285	Ribosomal RNA	L10_leader
75284	Ribosomal RNA	L10_leader
75283	Ribosomal RNA	L10_leader
75282	Ribosomal RNA	L10_leader
75281	Ribosomal RNA	L10_leader
75280	Ribosomal RNA	L10_leader
81113	Riboswitch	c-di-GMP-I
91095	glnA RNA	glnA
23512	tRNA	tRNA
98849	MAT2A 3'UTR stem loop A	MAT2A_A
16709	5S	5S
16708	5S	5S
6819	16S	16S
6818	16S	16S
80599	miRNA	mir-492
6811	16S	16S
6810	16S	16S
6813	16S	16S
6812	16S	16S
6815	16S	16S
6814	16S	16S
6817	16S	16S
6816	16S	16S
9757	16S	16S
9756	16S	16S
9755	16S	16S
9754	16S	16S
9753	16S	16S
9752	16S	16S
9751	16S	16S
9750	16S	16S
80595	miRNA	mir-589
9759	16S	16S
9758	16S	16S
24146	tRNA	tRNA
24147	tRNA	tRNA
24144	tRNA	tRNA
24145	tRNA	tRNA
24142	tRNA	tRNA
24143	tRNA	tRNA
24140	tRNA	tRNA
24141	tRNA	tRNA
24148	tRNA	tRNA
24149	tRNA	tRNA
59959	tRNA	tRNA
59958	tRNA	tRNA
54279	tRNA	tRNA
59951	tRNA	tRNA
59950	tRNA	tRNA
59953	tRNA	tRNA
59952	tRNA	tRNA
59955	tRNA	tRNA
59954	tRNA	tRNA
59957	tRNA	tRNA
59956	tRNA	tRNA
11847	16S	16S
11846	16S	16S
94336	snoRNA	alpha_tmRNA
11845	16S	16S
11844	16S	16S
77850	miRNA	mir-33
11842	16S	16S
68348	RsmY RNA family	RsmY
68349	RsmY RNA family	RsmY
68344	Viral RNA	Rubella_3
68345	RsmY RNA family	RsmY
68346	RsmY RNA family	RsmY
68347	RsmY RNA family	RsmY
68340	Viral RNA	Rubella_3
68341	Viral RNA	Rubella_3
68342	Viral RNA	Rubella_3
68343	Viral RNA	Rubella_3
88984	PhotoRC-II RNA	PhotoRC-II
94334	snoRNA	alpha_tmRNA
88985	PhotoRC-II RNA	PhotoRC-II
91825	msiK RNA	msiK
88986	PhotoRC-II RNA	PhotoRC-II
52468	tRNA	tRNA
88987	PhotoRC-II RNA	PhotoRC-II
52469	tRNA	tRNA
88980	PhotoRC-II RNA	PhotoRC-II
88981	PhotoRC-II RNA	PhotoRC-II
30334	tRNA	tRNA
30335	tRNA	tRNA
30336	tRNA	tRNA
30337	tRNA	tRNA
30330	tRNA	tRNA
30331	tRNA	tRNA
30332	tRNA	tRNA
30333	tRNA	tRNA
76167	snoRNA	SCARNA21
76166	snoRNA	SCARNA21
76165	snoRNA	SCARNA21
76164	snoRNA	SCARNA21
30338	tRNA	tRNA
30339	tRNA	tRNA
76161	snoRNA	SCARNA21
76160	snoRNA	SCARNA21
7566	16S	16S
7567	16S	16S
7564	16S	16S
52460	tRNA	tRNA
94332	snoRNA	alpha_tmRNA
7565	16S	16S
52461	tRNA	tRNA
7562	16S	16S
81563	mini-ykkC RNA motif	mini-ykkC
52462	tRNA	tRNA
7563	16S	16S
72394	snoRNA	SCARNA16
72395	snoRNA	SCARNA16
72396	snoRNA	SCARNA16
52463	tRNA	tRNA
72390	snoRNA	SCARNA16
72391	snoRNA	SCARNA16
72392	snoRNA	SCARNA16
72393	snoRNA	SCARNA16
52464	tRNA	tRNA
7561	16S	16S
72398	snoRNA	SCARNA16
72399	snoRNA	SCARNA16
52465	tRNA	tRNA
94333	snoRNA	alpha_tmRNA
52466	tRNA	tRNA
52467	tRNA	tRNA
35218	tRNA	tRNA
35219	tRNA	tRNA
35214	tRNA	tRNA
35215	tRNA	tRNA
35216	tRNA	tRNA
35217	tRNA	tRNA
35210	tRNA	tRNA
35211	tRNA	tRNA
35212	tRNA	tRNA
35213	tRNA	tRNA
23266	tRNA	tRNA
23267	tRNA	tRNA
23264	tRNA	tRNA
23265	tRNA	tRNA
23262	tRNA	tRNA
23263	tRNA	tRNA
23260	tRNA	tRNA
23261	tRNA	tRNA
23268	tRNA	tRNA
23269	tRNA	tRNA
95799	Group II intron	group-II-D1D4-1
95798	Group II intron	group-II-D1D4-1
94331	snoRNA	alpha_tmRNA
53733	tRNA	tRNA
96668	Group II intron	group-II-D1D4-5
53732	tRNA	tRNA
53731	tRNA	tRNA
43859	tRNA	tRNA
53730	tRNA	tRNA
43853	tRNA	tRNA
43852	tRNA	tRNA
43851	tRNA	tRNA
43850	tRNA	tRNA
43857	tRNA	tRNA
43856	tRNA	tRNA
43855	tRNA	tRNA
43854	tRNA	tRNA
53735	tRNA	tRNA
53734	tRNA	tRNA
73447	snoRNA	snosnR69
73446	snoRNA	snosnR69
73445	snoRNA	snosnR69
73444	snoRNA	snosnR57
73443	snoRNA	snosnR57
73442	snoRNA	snosnR57
73441	snoRNA	snosnR57
73440	snoRNA	snosnR57
49569	tRNA	tRNA
73449	snoRNA	snosnR69
73448	snoRNA	snosnR69
6935	16S	16S
81569	mini-ykkC RNA motif	mini-ykkC
49565	tRNA	tRNA
49564	tRNA	tRNA
49567	tRNA	tRNA
49566	tRNA	tRNA
49561	tRNA	tRNA
81568	mini-ykkC RNA motif	mini-ykkC
49560	tRNA	tRNA
49563	tRNA	tRNA
84221	BsrC	BsrC
49562	tRNA	tRNA
1679	16S	16S
84229	BsrC	BsrC
1671	16S	16S
85679	snoRNA	ceN84
85678	snoRNA	ceN84
85671	snoRNA	ceN80
85670	snoRNA	ceN80
85673	snoRNA	ceN82
85672	snoRNA	ceN82
85675	snoRNA	ceN82
85674	snoRNA	ceN82
85677	snoRNA	ceN82
85676	snoRNA	ceN82
5058	16S	16S
5059	16S	16S
5054	16S	16S
5055	16S	16S
5056	16S	16S
5057	16S	16S
5050	16S	16S
5051	16S	16S
5052	16S	16S
5053	16S	16S
38569	tRNA	tRNA
38568	tRNA	tRNA
96660	Group II intron	group-II-D1D4-5
98497	XIST RNA A repeat	XIST_A_REPEAT
38561	tRNA	tRNA
38560	tRNA	tRNA
38563	tRNA	tRNA
38562	tRNA	tRNA
38565	tRNA	tRNA
38564	tRNA	tRNA
38567	tRNA	tRNA
38566	tRNA	tRNA
70138	snoRNA	snoZ221_snoR21b
70139	snoRNA	snoZ221_snoR21b
70136	snoRNA	snoZ221_snoR21b
70137	snoRNA	snoZ221_snoR21b
70134	snoRNA	snoR16
70135	snoRNA	snoZ221_snoR21b
70132	snoRNA	snoR16
70133	snoRNA	snoR16
70130	snoRNA	snoR16
70131	snoRNA	snoR16
18893	5S	5S
18892	5S	5S
18891	5S	5S
18890	5S	5S
18897	5S	5S
18896	5S	5S
18895	5S	5S
18894	5S	5S
18899	5S	5S
18898	5S	5S
69178	miRNA	mir-124
94134	snoRNA	Fungi_U3
69179	miRNA	mir-124
13892	16S	16S
13893	16S	16S
87299	Cyano-1 RNA	Cyano-1
87298	Cyano-1 RNA	Cyano-1
98495	XIST RNA A repeat	XIST_A_REPEAT
87291	Cyano-1 RNA	Cyano-1
87290	Cyano-1 RNA	Cyano-1
87293	Cyano-1 RNA	Cyano-1
87292	Cyano-1 RNA	Cyano-1
87295	Cyano-1 RNA	Cyano-1
87294	Cyano-1 RNA	Cyano-1
87297	Cyano-1 RNA	Cyano-1
87296	Cyano-1 RNA	Cyano-1
94135	snoRNA	Fungi_U3
36178	tRNA	tRNA
36179	tRNA	tRNA
36174	tRNA	tRNA
36175	tRNA	tRNA
36176	tRNA	tRNA
36177	tRNA	tRNA
36170	tRNA	tRNA
36171	tRNA	tRNA
36172	tRNA	tRNA
36173	tRNA	tRNA
69833	snoRNA	SNORD57
69832	snoRNA	SNORD57
98493	XIST RNA A repeat	XIST_A_REPEAT
83637	CRISPR RNA	CRISPR-DR6
83636	CRISPR RNA	CRISPR-DR6
83635	CRISPR RNA	CRISPR-DR6
83634	CRISPR RNA	CRISPR-DR6
83633	CRISPR RNA	CRISPR-DR6
83632	CRISPR RNA	CRISPR-DR5
83631	CRISPR RNA	CRISPR-DR5
83630	CRISPR RNA	CRISPR-DR5
83639	CRISPR RNA	CRISPR-DR6
83638	CRISPR RNA	CRISPR-DR6
98492	XIST RNA A repeat	XIST_A_REPEAT
28021	tRNA	tRNA
19356	5S	5S
94138	snoRNA	Fungi_U3
6958	16S	16S
94139	snoRNA	Fungi_U3
6959	16S	16S
98490	XIST RNA A repeat	XIST_A_REPEAT
8035	16S	16S
8034	16S	16S
8037	16S	16S
8036	16S	16S
8031	16S	16S
8030	16S	16S
8033	16S	16S
8032	16S	16S
8039	16S	16S
8038	16S	16S
58075	RPRNA	RPRNA
58074	RPRNA	RPRNA
58077	RPRNA	RPRNA
44913	tRNA	tRNA
44912	tRNA	tRNA
44911	tRNA	tRNA
44910	tRNA	tRNA
44917	tRNA	tRNA
44916	tRNA	tRNA
44915	tRNA	tRNA
44914	tRNA	tRNA
58071	RPRNA	RPRNA
44919	tRNA	tRNA
44918	tRNA	tRNA
58070	RPRNA	RPRNA
89491	Riboswitch	SAM-I-IV-variant
46182	tRNA	tRNA
89493	Riboswitch	SAM-I-IV-variant
89492	Riboswitch	SAM-I-IV-variant
89495	Riboswitch	SAM-I-IV-variant
58073	RPRNA	RPRNA
89497	Riboswitch	SAM-I-IV-variant
46183	tRNA	tRNA
89499	Riboswitch	SAM-I-IV-variant
89498	Riboswitch	SAM-I-IV-variant
58072	RPRNA	RPRNA
82966	snoRNA	SNORA81
88720	PhotoRC-I RNA	PhotoRC-I
88721	PhotoRC-I RNA	PhotoRC-I
88722	PhotoRC-I RNA	PhotoRC-I
82967	snoRNA	SNORA81
88724	PhotoRC-I RNA	PhotoRC-I
88725	PhotoRC-I RNA	PhotoRC-I
88726	PhotoRC-I RNA	PhotoRC-I
88727	PhotoRC-I RNA	PhotoRC-I
88728	PhotoRC-II RNA	PhotoRC-II
82960	snoRNA	SNORA81
82961	snoRNA	SNORA81
46184	tRNA	tRNA
46185	tRNA	tRNA
13988	16S	16S
13989	16S	16S
13984	16S	16S
13985	16S	16S
13986	16S	16S
13987	16S	16S
13980	16S	16S
13981	16S	16S
13982	16S	16S
13983	16S	16S
91824	msiK RNA	msiK
89235	Pseudomon-groES RNA	Pseudomon-groES
89234	Pseudomon-groES RNA	Pseudomon-groES
89237	Pseudomon-groES RNA	Pseudomon-groES
89236	Pseudomon-groES RNA	Pseudomon-groES
89231	Pseudomon-groES RNA	Pseudomon-groES
89230	Pseudomon-groES RNA	Pseudomon-groES
89233	Pseudomon-groES RNA	Pseudomon-groES
89232	Pseudomon-groES RNA	Pseudomon-groES
89239	Pseudomon-groES RNA	Pseudomon-groES
89238	Pseudomon-groES RNA	Pseudomon-groES
16002	5S	5S
16003	5S	5S
16000	5S	5S
16001	5S	5S
5869	16S	16S
5868	16S	16S
16004	5S	5S
16005	5S	5S
5865	16S	16S
5864	16S	16S
5867	16S	16S
5866	16S	16S
5861	16S	16S
5860	16S	16S
5863	16S	16S
5862	16S	16S
94361	snoRNA	alpha_tmRNA
94360	snoRNA	alpha_tmRNA
94363	tmRNA	beta_tmRNA
94362	tmRNA	beta_tmRNA
17359	16S	16S
17358	16S	16S
94367	tmRNA	beta_tmRNA
94366	tmRNA	beta_tmRNA
17355	16S	16S
17354	16S	16S
17357	16S	16S
17356	16S	16S
17351	16S	16S
17350	16S	16S
17353	16S	16S
17352	16S	16S
43003	tRNA	tRNA
60258	tRNA	tRNA
60259	tRNA	tRNA
60256	tRNA	tRNA
60257	tRNA	tRNA
60254	tRNA	tRNA
60255	tRNA	tRNA
60252	tRNA	tRNA
60253	tRNA	tRNA
60250	tRNA	tRNA
60251	tRNA	tRNA
69783	snoRNA	SNORD60
19588	5S	5S
19589	5S	5S
19586	5S	5S
19587	5S	5S
19584	5S	5S
19585	5S	5S
19582	5S	5S
19583	5S	5S
19580	5S	5S
19581	5S	5S
64007	miRNA	mir-7
64006	miRNA	mir-7
64005	miRNA	mir-7
64004	miRNA	mir-7
20869	tRNA	tRNA
20868	tRNA	tRNA
64001	miRNA	mir-7
64000	miRNA	mir-7
20865	tRNA	tRNA
20864	tRNA	tRNA
20867	tRNA	tRNA
20866	tRNA	tRNA
20861	tRNA	tRNA
20860	tRNA	tRNA
20863	tRNA	tRNA
20862	tRNA	tRNA
6953	16S	16S
16114	5S	5S
94422	tRNA	tRNA-Sec
16115	5S	5S
16116	5S	5S
51927	tRNA	tRNA
51920	tRNA	tRNA
51921	tRNA	tRNA
45639	tRNA	tRNA
45638	tRNA	tRNA
5931	16S	16S
45631	tRNA	tRNA
45630	tRNA	tRNA
45633	tRNA	tRNA
45632	tRNA	tRNA
45635	tRNA	tRNA
45634	tRNA	tRNA
45637	tRNA	tRNA
45636	tRNA	tRNA
42177	tRNA	tRNA
42176	tRNA	tRNA
42175	tRNA	tRNA
42174	tRNA	tRNA
42173	tRNA	tRNA
42172	tRNA	tRNA
42171	tRNA	tRNA
42170	tRNA	tRNA
63781	snoRNA	SNORD36
63780	snoRNA	SNORD36
63783	snoRNA	SNORD36
80385	miRNA	mir-1226
80382	miRNA	MIR824
80383	miRNA	MIR824
42179	tRNA	tRNA
42178	tRNA	tRNA
97470	HNH endonuclease-associated RNA and ORF (HEARO) RNA	HEARO
97471	HNH endonuclease-associated RNA and ORF (HEARO) RNA	HEARO
97472	HNH endonuclease-associated RNA and ORF (HEARO) RNA	HEARO
97473	HNH endonuclease-associated RNA and ORF (HEARO) RNA	HEARO
12208	16S	16S
12209	16S	16S
97476	HNH endonuclease-associated RNA and ORF (HEARO) RNA	HEARO
97477	HNH endonuclease-associated RNA and ORF (HEARO) RNA	HEARO
12204	16S	16S
12205	16S	16S
12206	16S	16S
12207	16S	16S
12200	16S	16S
12201	16S	16S
12202	16S	16S
12203	16S	16S
90123	TwoAYGGAY RNA	TwoAYGGAY
90122	TwoAYGGAY RNA	TwoAYGGAY
90121	TwoAYGGAY RNA	TwoAYGGAY
90120	TwoAYGGAY RNA	TwoAYGGAY
90127	TwoAYGGAY RNA	TwoAYGGAY
90126	TwoAYGGAY RNA	TwoAYGGAY
90125	TwoAYGGAY RNA	TwoAYGGAY
90124	TwoAYGGAY RNA	TwoAYGGAY
90129	TwoAYGGAY RNA	TwoAYGGAY
90128	TwoAYGGAY RNA	TwoAYGGAY
29358	tRNA	tRNA
29359	tRNA	tRNA
29350	tRNA	tRNA
29351	tRNA	tRNA
29352	tRNA	tRNA
29353	tRNA	tRNA
29354	tRNA	tRNA
29355	tRNA	tRNA
29356	tRNA	tRNA
29357	tRNA	tRNA
8866	16S	16S
8867	16S	16S
8864	16S	16S
8865	16S	16S
8862	16S	16S
8863	16S	16S
8860	16S	16S
8861	16S	16S
8868	16S	16S
8869	16S	16S
26834	tRNA	tRNA
26835	tRNA	tRNA
26836	tRNA	tRNA
26837	tRNA	tRNA
26830	tRNA	tRNA
26831	tRNA	tRNA
26832	tRNA	tRNA
26833	tRNA	tRNA
67576	Riboswitch	Cobalamin
67577	Riboswitch	Cobalamin
67574	Riboswitch	Cobalamin
67575	Riboswitch	Cobalamin
26838	tRNA	tRNA
26839	tRNA	tRNA
67570	Riboswitch	Cobalamin
67571	Riboswitch	Cobalamin
68634	snoRNA	SNORD38
68635	snoRNA	SNORD38
68636	snoRNA	SNORD38
68637	snoRNA	SNORD38
68630	snoRNA	SNORD35
68631	snoRNA	SNORD38
68632	snoRNA	SNORD38
68633	snoRNA	SNORD38
96989	Group II intron	group-II-D1D4-7
96988	Group II intron	group-II-D1D4-7
68638	snoRNA	snoR38
68639	snoRNA	snoR38
95829	Group II intron	group-II-D1D4-1
95828	Group II intron	group-II-D1D4-1
90505	epsC RNA	epsC
79724	miRNA	mir-344
79725	miRNA	mir-344
28409	tRNA	tRNA
28408	tRNA	tRNA
79720	miRNA	mir-344
79721	miRNA	mir-344
79722	miRNA	mir-344
79723	miRNA	mir-344
28403	tRNA	tRNA
28402	tRNA	tRNA
28401	tRNA	tRNA
28400	tRNA	tRNA
28407	tRNA	tRNA
28406	tRNA	tRNA
28405	tRNA	tRNA
28404	tRNA	tRNA
95821	Group II intron	group-II-D1D4-1
95820	Group II intron	group-II-D1D4-1
95823	Group II intron	group-II-D1D4-1
95822	Group II intron	group-II-D1D4-1
95825	Group II intron	group-II-D1D4-1
95824	Group II intron	group-II-D1D4-1
90928	glnA RNA	glnA
95827	Group II intron	group-II-D1D4-1
95826	Group II intron	group-II-D1D4-1
90922	glnA RNA	glnA
23718	tRNA	tRNA
23719	tRNA	tRNA
23716	tRNA	tRNA
23717	tRNA	tRNA
23714	tRNA	tRNA
23715	tRNA	tRNA
23712	tRNA	tRNA
23713	tRNA	tRNA
23710	tRNA	tRNA
23711	tRNA	tRNA
59205	Spliceosomal RNA	U1
59204	Spliceosomal RNA	U1
59207	Spliceosomal RNA	U1
59206	Spliceosomal RNA	U1
59201	Spliceosomal RNA	U1
59200	Spliceosomal RNA	U1
59203	Spliceosomal RNA	U1
59202	Spliceosomal RNA	U1
59209	Spliceosomal RNA	U1
59208	Spliceosomal RNA	U1
92187	pfl RNA	pfl
92186	pfl RNA	pfl
92185	pfl RNA	pfl
92184	pfl RNA	pfl
92183	pfl RNA	pfl
92182	pfl RNA	pfl
92181	pfl RNA	pfl
92180	pfl RNA	pfl
45028	tRNA	tRNA
92188	pfl RNA	pfl
74051	Viral RNA	Tombus_IRE
74050	Viral RNA	Tombus_IRE
74053	Viral RNA	Tombus_IRE
74052	Viral RNA	Tombus_IRE
74055	Viral RNA	Tombus_IRE
74054	Viral RNA	Tombus_IRE
74057	Viral RNA	Tombus_IRE
74056	Viral RNA	Tombus_IRE
74059	internal ribosome entry site RNA	IRES_KSHV
74058	internal ribosome entry site RNA	IRES_KSHV
96720	Group II intron	group-II-D1D4-6
45029	tRNA	tRNA
35584	tRNA	tRNA
35585	tRNA	tRNA
35586	tRNA	tRNA
35587	tRNA	tRNA
35580	tRNA	tRNA
35581	tRNA	tRNA
35582	tRNA	tRNA
35583	tRNA	tRNA
94545	Mitochondrial DNA control region secondary structure A	mtDNA_ssA
35588	tRNA	tRNA
35589	tRNA	tRNA
94544	Mitochondrial DNA control region secondary structure A	mtDNA_ssA
32057	tRNA	tRNA
32056	tRNA	tRNA
32055	tRNA	tRNA
32054	tRNA	tRNA
32053	tRNA	tRNA
32052	tRNA	tRNA
32051	tRNA	tRNA
32050	tRNA	tRNA
32059	tRNA	tRNA
32058	tRNA	tRNA
94549	Mitochondrial DNA control region secondary structure A	mtDNA_ssA
55878	tmRNA	tmRNA
55879	tmRNA	tmRNA
94548	Mitochondrial DNA control region secondary structure A	mtDNA_ssA
55872	tmRNA	tmRNA
17799	16S	16S
55870	tmRNA	tmRNA
55871	tmRNA	tmRNA
55876	tmRNA	tmRNA
55877	tmRNA	tmRNA
55874	tmRNA	tmRNA
52788	tRNA	tRNA
56781	snoRNA	srpRNA
56780	snoRNA	srpRNA
56783	snoRNA	srpRNA
56782	snoRNA	srpRNA
56785	snoRNA	srpRNA
56784	snoRNA	srpRNA
56787	snoRNA	srpRNA
56786	snoRNA	srpRNA
56789	snoRNA	srpRNA
56788	snoRNA	srpRNA
25714	tRNA	tRNA
25715	tRNA	tRNA
25716	tRNA	tRNA
25717	tRNA	tRNA
25710	tRNA	tRNA
25711	tRNA	tRNA
25712	tRNA	tRNA
25713	tRNA	tRNA
